ID Number,Organisation,User Journey1,User Journey2,User Journey3,User Journey4,User Journey5,Organisation Type,Food Cost,Food type,Pathway/means of entry,Elegibility,Location,Time,Email/Website,Telephone number
1,240 Project,x,Over 16,,,,Day centre/drop in,Free,Cooked meal,register when they come in,No under 18s,"240 Lancaster Road, London, W11 4AH","Monday-Wednesday, 11am-4pm",info@240project.org.uk,
2,ACE OF CLUBS,x,Over 16,,,,Day centre/drop in,Low cost,Cooked meal,,"No under 16s, no one intoxicated","St Alphonsus Road, London, SW4 7AS","Monday-Friday, 12-1.30pm, 2-2.30pm",,020 7720 2811
3,Acton Homeless,x,,,,,Day centre/drop in,Free,Cooked meal,,No intoxication or violence,"1 Berrymead Gardens, Acton, London W3 8AA","Daily, 9.30am-12pm, 11.45am-13:50pm,2-8pm",actonhomelessconcern@yahoo.com/ www.acton-olol.com,02089925768 
4,All Saints Church,x,Over 16,,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,"No under 16s, no one intoxicated","All Saints Church, Carnegie Street, N1 9QW",Tuesday and Thursday 10-12am,,2078370720
5,Baron's Court Project,,Mental health,Women,Ethnic identity,Live in area,Day centre/drop in,Low cost,Cooked meal,,Mental illness living in hammersmith and fulham or homeless with mental illness. Womens only and Black only times available too.,"69 Talgarth road, London, W14 9DD","Monday-Wednesday and Friday 2-5pm, Womens only Friday 12-2pm, Black people only Tuesday 5-7.30pm",,2076035232
6,Bloomsbury Central Baptist Church,,Homeless,,,,Church/Christian organistaion,Free,Cooked meal,Ticket collected on the day,Homeless,"235 Shaftesbury Avenue, London, WC2H 8EP",Sunday 13:30pm,,2072400544
7,Cardinal Hume,x,,,,,Other,Free,Soup/Sandwiches,,,"3-7 Arneway Street, Horseferry Road, London, SW1P 2BG","Monday-Thursday 9am-4pm, Friday 12:30pm",,2072221602
8,Charlie Ratchford Centre,,Live in area,Over 60,Mental health,,Day centre/drop in,Low cost,Cooked meal,Need to register at the centre and become a member,"Live in Camden borough, over 60 years, phyically disabled, dementia, mental health, isolated in own home","Belmont Street, London, NW1 8HF",12:00pm,,2074852968
9,Christian Kitchen,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,"Mission Grove (car park) near the market, Walthamstow",Monday-Sunday 7.30pm,,2085094600
10,"Church Army - Marylebone 
Project Womens Day Centre",x,Women,Homeless,Over 16,,Church/Christian organistaion,Free,Mixed cooked and cold food,,"Homeless, single women only, no children ","125 Cosway street, NW1 5NR",Monday-Friday 12-1.30pm,http://www.churcharmy.org.uk/Marylebone,2036753645
11,Church of the Immaculate Conception/Farm St Church,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,"114 Mount Street, W1K 3AH",Monday pm,,2074937811
12,Coptic City Mission (St Mark’s Coptic Orthodox Church),x,,,,,Church/Christian organistaion,Free,Cooked meal,,,"Ameircan Church, 79A Tottenham Court Road, W1T 4TD, BACK ENTRANCE of church","Monday, Tuesday, Thursday-Saturday 10am-12pm",info@amchurch.co.uk ,2075802791
13,Croydon Resource centre,,Live in area,,,,Day centre/drop in,Free,Soup/Sandwiches,nas website refferral needed,Live in Croydon/ SE border,"1A Mansfield place, South Croydon, Surrey CR2 6HP",12pm,,
15,Deptford Reach,x,Over 16,,,,Day centre/drop in,Low cost,Cooked meal,,"Vunerable adults, no under 16s","Mansfield place 1A South Croydon, Surrey CR2 6HP","9am-10.30am, 12pm-1.1:30pm",,020 8692 6548
16,Drovers Day Centre North Road,,Live in area,Over 60,,,Day centre/drop in,Low cost,Cooked meal,register when they come in,"Live in Islington, over 50",19 North Road N7 9EY,"Monday-Friday 9am-10.30am, 12pm-1.30pm",,
17,Emmanuel Church Stratford,x,Homeless,Over 16,,,Church/Christian organistaion,Free,Cooked meal,,"Homeless","Romford Road, Forest Gate, London E7 8BD",Thursday 8-10am,,0208 522 1900
18,Good Samaria Network ,,Homeless,,,,Hostel/shelter,Free,Cooked meal,,Homeless,"King George’s Hostel, 75 Great Peter St, London, Greater London SW1P 2BN",Sunday and Monday 5.30-7.30pm,smo-uk@hotmail.co.uk ,
19,Streetlytes,x,,,,,Hostel/shelter,Free,Cooked meal,,,"King George’s Hostel, 75 Great Peter St, London, Greater London SW1P 2BN",Tuesday 6-9pm,,
20,Khaniqahi Nimatallahi,x,,,,,Hostel/shelter,Free,Cooked meal,,,"King George’s Hostel, 75 Great Peter St, London, Greater London SW1P 2BN",Wednesday 6-8pm,,
21,First Steps,x,,,,,Hostel/shelter,Free,Cooked meal,,,"King George’s Hostel, 75 Great Peter St, London, Greater London SW1P 2BN",Thursday 8.30-10pm,,
22,Lighthouse Chapel International,x,,,,,Hostel/shelter,Free,Soup/Sandwiches,,,"King George’s Hostel, 75 Great Peter St, London, Greater London SW1P 2BN",Friday 8.30 pm,,
23,Grace Organisation,,Over 60,,,,Day centre/drop in,Low cost,Cooked meal,reffered through social services,"Elderly people, anyone who needs help in the home","9 Whitehall Street, Tottenham, London, N17 8BP",Sunday-Friday 9.30am-4.30pm,,2088080718
24,Hackney Seventh Day Adventist Church,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,The Strand and Waterloo,Sunday 7pm,,0791 362 5443
25,Hare Krishna,x,,,,,Religious organisation,Free,Cooked meal,,,Kentish Town behind tube station in the van,Monday-Saturday 12-1pm,foodforall.org.uk,
25,Hare Krishna,x,,,,,Food distribution,Free,Cooked meal,,,Camden Town Arlington road next to mecca bingo,Monday-Saturday 1-1.45pm,foodforall.org.uk,
25,Hare Krishna,x,,,,,Food distribution,Free,Cooked meal,,,Kings Cross York Way next to train station.,Monday-Saturday 2-2.30pm,foodforall.org.uk,
26,Highway of holiness,,Homeless,,,,Hostel/shelter,Free,Cooked meal,need to register first and become resident,Homeless,"8, Fountayne Rd, N15 4QL",Daily,,
27,Holy Apostles Church,x,,,,,Church/Christian organistaion,Free,Cooked meal,register before hand,,"47 Cumberland street, SW1V 4LY",December-March only on a thrursday,,2078346965
28,Imperial College Community Action Group,x,,,,,Food distribution,Free,Soup/Sandwiches,,,Lincoln's Inn Fields WC2A 3JW,Sunday 8pm,,
29,The Allsouls Clubhouse ,,Homeless,,,,Day centre/drop in,Free,Mixed cooked and cold food,Entertainment evening need invite given out on Tea run or collect at church on Monday mornings,Homeless,"141 Cleveland St, London, Greater London W1T 6QG","Thursday 6.30pm, ",,2072559762
,,,Homeless,,,,Day centre/drop in,Free,Tea run,,,The Strand,Daily 4am-7am,,
29,The Allsouls Clubhouse,,Homeless,,,,Day centre/drop in,Free,Mixed cooked and cold food,,,"141 Cleveland St, London, Greater London W1T 6QG",Daily 9.30am -12pm,,
30,New Horizon Youth Centre,,Under 25,,,,Children and young peoples organistion,Free,Cooked meal,non,"Young people, 16-21, must be willing to participate in additional services eg. Education, job searcch etc.","68 Charlton Street, NW1 1JR",Daily 1-2pm,,0207 388 5560
31,Marlybone Centre,,Homeless,,,,Day centre/drop in,Free,Mixed cooked and cold food,non,Homeless,"1-5 Coseway Street, NW1 5NR",Daily 9.30am-12pm 12-1.30pm,,02 07 262 3818
32,Whitechapel Mission,,Homeless,,,,Church/Christian organistaion,Low cost,Cooked meal,non,Homeless,"212 Whitechapel Rd, E1 1BJ",Daily 6-10am,,0207 247 8280
33,West London Day Centre,,Homeless,Over 25,,,Day centre/drop in,Free and low cost,Cooked meal,,"Homeless","134 Seymour Place, W1H 1NT",Daily 9-11.30am,,
34,Webber Street London City Mission,x,Homeless,Over 16,,,Church/Christian organistaion,Free,Cooked meal,,"Homeless,  no under 21",6 Webber Street SE1 8QA,Daily 9-10am,,0207 351 4948
35,The Manna Project,,Homeless,,,,Church/Christian organistaion,Free,Cooked meal,,Homeless,"St. Stephens Church, 17 Canenbury Rd, N1 2DF","Tuesday 7-9pm, Wednesday 1-3pm",,0207 354 3363
36,Street Souls,x,,,,,Food distribution,Free,Mixed cooked and cold food,,all,"68 Manor Lane, London, SE13 5QP",1st and 3rd Friday 8pm,,0208 336 1734 or 020 8785 9530
37,St Mary Magdalen,,Live in area,Homeless,,,Church/Christian organistaion,Free,Non perishable/food parcel,non,"Homeless","Holloway Road, Islington, London N7 8LT",Anytime,,020 7607 2203
38,St. Martins in the field,x,,,,,Church/Christian organistaion,Low cost,Cooked meal,,Based on assesment,"12 Adeleide Street, WC2N 4HW","Daily 9.30am, 11.30am",,0207 766 5555
39,Best Before,x,,,,,Surplus food organistion,Free,Non perishable/food parcel,,,,,,07823 323240
40,St John the Evangelist,,Homeless,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,Homeless,"39 Duncan Terrace, N1 8AL",Tuesday-Saturday 12.30-1.30pm,,020 7226 3277
41,Women at the well,,Women,,,,Other,Free,Non perishable/food parcel,,Vunerable women only,"54-55 Birkenhead Street, London, WC1H 8BB",Tuesday-Thursday 12-4pm,,0207 520 1710
42,The Passage,x,,,,,Hostel/shelter,Low cost,Cooked meal,,Based on assesment,"St Vincent’s Centre, SW1P 1NL","Daily 8-10am, 12-1pm",,0207 592 1850
43,Tudor Leaf Luncheon,,Over 60,,,,Social club,Low cost,Cooked meal,Membership £4 a year,"Over 60, members only","461 Field End Road, Ruislip, HA4 9NZ",12-3pm,,0208 866 8603
44,Upper Room,x,Over 16,,,,Church/Christian organistaion,Free,Cooked meal,,No under 18s,"St Saviours, Wendell Park, London, W12 9LN ",Daily 5.30pm,,0208 741 6550
